State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Total Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?,Record Date
NM,155,415,399-3164,no,no,0,190.3,123,32.35,69.78,301.3,96,25.61,214.6,134,9.66,8,3,2.16,1,False.,2020-01-16
OH,100,510,385-8997,no,no,0,278,76,47.26,74.4,176.7,74,15.02,219.5,126,9.88,8.3,4,2.24,0,True.,2019-11-13
WY,113,510,352-6573,no,no,0,155,93,26.35,66.62,330.6,106,28.1,189.4,123,8.52,13.5,3,3.65,1,False.,2019-07-22
MI,81,415,408-3384,no,no,0,153.5,99,26.1,53.53,197.6,102,16.8,198.5,86,8.93,6.3,2,1.7,2,False.,2020-07-16
AR,135,510,419-6033,no,yes,27,273.4,141,46.48,73.95,154,99,13.09,245.8,112,11.06,12.3,6,3.32,1,False.,2020-09-12
FL,99,408,336-2090,no,no,0,155.3,93,26.4,58.89,265.7,95,22.58,145.7,67,6.56,12.4,4,3.35,0,False.,2019-09-10
AR,59,510,343-7242,no,yes,29,133.1,114,22.63,49.19,221.2,82,18.8,131.6,103,5.92,6.8,3,1.84,1,False.,2020-10-26
MO,135,510,376-1713,no,no,0,246.8,129,41.96,68.27,187.8,121,15.96,154.5,109,6.95,12.6,5,3.4,1,False.,2020-06-14
WI,85,408,381-5878,yes,no,0,165.4,107,28.12,63.08,196,126,16.66,349.2,110,15.71,9.6,7,2.59,2,False.,2019-11-14
TX,70,510,390-5470,no,no,0,59.5,103,10.12,44.35,257.2,106,21.86,208.3,86,9.37,11.1,6,3,0,False.,2020-03-12
TX,88,510,414-4803,no,no,0,138.3,116,23.51,54.22,236,138,20.06,179.1,110,8.06,9.6,4,2.59,3,False.,2020-05-08
NM,55,510,382-5478,no,no,0,286.7,100,48.74,70.7,134.4,121,11.42,192.9,122,8.68,6.9,5,1.86,2,False.,2020-07-08
GA,75,415,333-7637,no,no,0,117.3,114,19.94,45.18,201.1,61,17.09,107.9,82,4.86,12.2,3,3.29,1,False.,2020-06-26
ID,79,510,341-1647,no,yes,21,264.3,79,44.93,71.67,202.8,118,17.24,173.4,92,7.8,6.3,3,1.7,4,False.,2020-06-23
AL,85,408,411-4232,no,no,0,127.9,107,21.74,57.27,271.2,124,23.05,202.2,76,9.1,12.5,5,3.38,0,False.,2020-04-23
KS,86,408,339-2616,no,yes,23,225.5,107,38.34,72.99,246.3,105,20.94,245.7,81,11.06,9.8,2,2.65,0,False.,2020-01-16
SD,91,510,327-3850,no,no,0,149,115,25.33,60.12,245.3,105,20.85,260,94,11.7,8.3,3,2.24,0,False.,2020-03-27
LA,149,415,328-7209,no,yes,20,198.9,77,33.81,69.54,274,88,23.29,190.7,76,8.58,14.3,9,3.86,1,False.,2019-11-02
OH,97,408,405-6189,no,no,0,256.4,125,43.59,79.89,273.9,100,23.28,222.7,101,10.02,11.1,1,3,1,True.,2020-03-15
MA,88,415,418-6737,no,no,0,264.8,124,45.02,77.1,245.4,112,20.86,160.5,115,7.22,14.8,2,4,1,True.,2020-04-17
AZ,60,415,366-2212,no,no,0,98.2,88,16.69,44.6,180.5,69,15.34,223.6,69,10.06,9.3,2,2.51,2,False.,2020-03-03
KY,54,408,356-1420,no,no,0,159.8,99,27.17,57.44,264,64,22.44,115.7,70,5.21,9.7,7,2.62,2,False.,2019-08-02
DC,11,415,343-1323,no,yes,28,190.6,86,32.4,60.84,220.1,122,18.71,180.3,80,8.11,6,3,1.62,3,False.,2020-03-04
WA,109,415,361-8239,no,no,0,184,120,31.28,51.4,120.4,119,10.23,153.7,86,6.92,11,3,2.97,0,False.,2020-03-24
UT,90,415,384-1621,no,no,0,261.8,128,44.51,72,220.6,104,18.75,136.6,91,6.15,9.6,5,2.59,1,False.,2020-02-14
RI,115,408,360-3525,no,no,0,147.9,109,25.14,60.63,228.4,117,19.41,299.7,90,13.49,9.6,9,2.59,3,False.,2019-09-02
OH,144,415,392-3813,no,yes,18,106.4,109,18.09,39.39,108.1,113,9.19,208.4,111,9.38,10.1,5,2.73,1,False.,2020-10-24
NV,91,408,337-6898,no,no,0,133.7,75,22.73,53.54,195.3,87,16.6,280.5,89,12.62,5.9,2,1.59,0,False.,2020-07-19
ND,105,415,366-8036,no,yes,23,193.5,85,32.9,66.18,220.2,90,18.72,272.4,111,12.26,8.5,5,2.3,0,False.,2020-06-19
NV,71,415,352-8327,yes,no,0,178.2,113,30.29,56.41,167.8,94,14.26,182.1,111,8.19,13.6,3,3.67,3,True.,2020-03-20
FL,132,510,334-9505,no,yes,36,226.2,103,38.45,68.38,181.6,125,15.44,258.8,102,11.65,10.5,5,2.84,3,True.,2020-04-20
MD,112,415,336-5702,no,no,0,170.4,103,28.97,60.74,200.2,71,17.02,258.3,100,11.62,11.6,4,3.13,1,False.,2020-04-22
AZ,86,415,392-2381,no,yes,32,70.9,163,12.05,40.24,166.7,121,14.17,244.9,105,11.02,11.1,5,3,3,False.,2019-09-22
AL,41,510,369-6880,no,yes,34,194.4,63,33.05,66.57,254.9,110,21.67,160.2,115,7.21,17.2,9,4.64,2,False.,2019-09-19
NE,44,415,416-8697,no,no,0,240.3,146,40.85,68.53,164.6,83,13.99,240.7,106,10.83,10.6,2,2.86,1,False.,2020-01-06
NV,78,408,345-3451,no,no,0,75,116,12.75,44.38,248.7,87,21.14,176,83,7.92,9.5,6,2.57,3,False.,2020-09-08
IL,149,408,379-2514,no,no,0,69.1,117,11.75,33.22,136.3,100,11.59,181.7,53,8.18,6.3,3,1.7,1,False.,2019-07-23
WV,72,510,418-6651,no,yes,33,96.6,59,16.42,52.25,315.4,98,26.81,163.3,117,7.35,6.2,4,1.67,4,True.,2019-06-29
MI,139,415,421-3528,no,yes,20,214.6,101,36.48,67.79,235.1,132,19.98,162.8,132,7.33,14.8,12,4,0,False.,2020-09-10
AR,74,510,329-9046,no,no,0,148.5,111,25.25,53.38,146.5,42,12.45,289.2,83,13.01,9.9,6,2.67,3,False.,2020-07-03
UT,50,510,406-3890,no,no,0,258.1,106,43.88,70.89,161.4,106,13.72,225.1,110,10.13,11.7,5,3.16,1,False.,2019-06-12
GA,141,510,403-8904,no,yes,23,149.7,112,25.45,51.22,162.5,118,13.81,220.3,115,9.91,7.6,2,2.05,3,False.,2019-11-05
AZ,140,408,393-4086,no,no,0,149.8,134,25.47,54.89,164.4,98,13.97,294.7,124,13.26,8.1,2,2.19,1,False.,2019-11-26
ID,99,408,400-1367,no,no,0,190.4,102,32.37,61.05,158.1,107,13.44,271.5,92,12.22,11.2,4,3.02,2,False.,2020-05-30
HI,166,408,377-9473,no,no,0,181.4,108,30.84,60.59,253.8,54,21.57,112.3,94,5.05,11.6,6,3.13,1,False.,2020-02-23
NV,124,408,396-3068,no,no,0,151.1,123,25.69,54.54,187.4,104,15.93,255.4,93,11.49,5.3,3,1.43,1,False.,2020-10-24
MD,74,415,331-9293,no,no,0,155.7,116,26.47,55,173.7,63,14.76,257.4,97,11.58,8.1,4,2.19,0,False.,2019-06-29
GA,117,510,347-1914,no,no,0,149.9,95,25.48,60.41,256.1,110,21.77,212.7,92,9.57,13.3,13,3.59,2,False.,2019-11-03
GA,85,510,395-1962,no,no,0,222.3,132,37.79,70.5,231.5,101,19.68,223.5,75,10.06,11,2,2.97,3,False.,2019-11-23
UT,36,415,401-5485,no,yes,16,149.4,111,25.4,44.38,131.8,113,11.2,132.7,87,5.97,6.7,2,1.81,0,False.,2019-11-09
MA,102,510,355-6560,yes,no,0,233.8,103,39.75,68.66,221.6,131,18.84,146.9,106,6.61,12.8,3,3.46,0,False.,2019-09-11
IN,76,415,363-3911,no,no,0,204.2,100,34.71,73.41,292.6,139,24.87,244.3,105,10.99,10.5,2,2.84,0,False.,2019-11-03
VT,165,510,345-1998,no,no,0,242.9,126,41.29,69.4,209.8,65,17.83,228.4,126,10.28,0,0,0,1,False.,2020-02-09
IA,130,415,361-5277,no,no,0,150.4,119,25.57,56.86,230.5,99,19.59,186.3,76,8.38,12.3,4,3.32,1,False.,2019-08-31
IN,78,415,376-7145,no,no,0,208.9,119,35.51,73.03,252.4,132,21.45,280.2,120,12.61,12.8,7,3.46,0,False.,2020-05-03
AL,55,415,375-2975,yes,no,0,191.9,91,32.62,67.42,256.1,110,21.77,203.7,101,9.17,14.3,6,3.86,1,True.,2020-03-02
ME,92,415,376-8573,yes,no,0,130.7,113,22.22,57.9,260.6,122,22.15,244.2,98,10.99,9.4,2,2.54,2,True.,2019-10-19
RI,129,415,366-7360,no,yes,33,119.6,104,20.33,57.46,278.7,88,23.69,263.4,175,11.85,5.9,2,1.59,2,False.,2019-08-27
MD,18,408,347-7898,no,no,0,273.6,93,46.51,69.74,114.6,116,9.74,250.6,120,11.28,8.2,4,2.21,1,False.,2019-07-21
FL,161,415,390-7328,yes,no,0,156.1,114,26.54,52.95,180.3,63,15.33,179.6,115,8.08,11.1,9,3,2,False.,2019-10-23
CA,93,415,356-5491,no,yes,36,178.7,134,30.38,53.43,178.6,102,15.18,126.8,82,5.71,8,4,2.16,2,False.,2019-06-20
AL,144,415,373-3251,no,no,0,177.5,93,30.18,65.94,287.4,75,24.43,180.5,118,8.12,11.9,3,3.21,2,False.,2019-09-05
ME,75,408,343-1965,yes,no,0,211.3,61,35.92,55.44,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4,True.,2020-01-11
WV,95,415,378-8019,no,no,0,175.2,91,29.78,55.99,244.4,109,20.77,75.8,95,3.41,7.5,2,2.03,1,False.,2020-06-28
SD,126,415,386-1548,no,yes,23,114.3,102,19.43,49.83,190.3,103,16.18,240.4,111,10.82,12.6,7,3.4,3,False.,2020-05-30
FL,124,415,397-1649,no,yes,28,251.4,104,42.74,75.24,225.1,89,19.13,251.9,121,11.34,7.5,5,2.03,1,False.,2020-08-07
MI,93,415,366-7247,yes,no,0,216.9,61,36.87,69.21,207.4,120,17.63,221.7,110,9.98,17.5,5,4.73,1,True.,2020-05-05
MI,109,415,402-9691,yes,yes,26,217.2,138,36.92,64.43,145.5,111,12.37,280.7,76,12.63,9.3,3,2.51,0,False.,2020-08-09
NM,80,510,334-9806,no,no,0,206.3,97,35.07,63.45,154.9,98,13.17,263.6,82,11.86,12.4,12,3.35,0,False.,2020-04-30
AK,41,415,378-7733,no,no,0,159.3,66,27.08,52.57,125.9,75,10.7,261.9,76,11.79,11.1,5,3,1,False.,2020-01-29
OH,136,415,407-2248,no,yes,31,143.1,88,24.33,57.77,236.6,65,20.11,227.8,120,10.25,11.4,5,3.08,2,False.,2019-06-26
MO,92,415,405-3916,no,no,0,154,122,26.18,68.68,329.8,88,28.03,288,117,12.96,5.6,2,1.51,3,True.,2020-09-27
KS,143,408,407-2081,no,yes,24,186.6,69,31.72,64.29,222,116,18.87,234.9,138,10.57,11.6,5,3.13,1,False.,2020-08-22
MS,118,415,397-9148,no,yes,26,170.8,114,29.04,56.23,199.5,125,16.96,169.7,98,7.64,9.6,5,2.59,5,True.,2019-08-14
VT,193,408,415-4857,no,yes,17,124,102,21.08,50.88,202.9,81,17.25,205.1,129,9.23,12.3,3,3.32,1,False.,2019-09-25
NE,73,415,354-7314,no,no,0,198.3,94,33.71,68.03,279.3,101,23.74,146.2,87,6.58,14.8,8,4,3,False.,2020-05-25
VA,62,408,346-5611,no,no,0,172.8,101,29.38,60.09,204.8,97,17.41,240.8,90,10.84,9.1,8,2.46,2,False.,2019-09-18
DE,30,415,349-4703,no,yes,30,217.4,74,36.96,67.13,213.8,86,18.17,227.2,104,10.22,6.6,3,1.78,0,False.,2020-04-12
AL,60,408,411-7778,yes,yes,29,265.9,113,45.2,72.18,215.8,94,18.34,108.1,82,4.86,14,12,3.78,0,True.,2019-11-17
ID,148,510,421-1469,no,yes,14,93.6,137,15.91,43.63,193.8,72,16.47,144.9,84,6.52,17.5,5,4.73,1,False.,2019-10-10
MS,96,510,420-5990,no,no,0,98.2,100,16.69,53.06,307.2,88,26.11,182.5,120,8.21,7.6,1,2.05,2,False.,2020-01-30
OK,52,408,389-4780,no,no,0,214.7,68,36.5,58.07,158.6,138,13.48,123.4,114,5.55,9.4,4,2.54,2,False.,2020-01-27
NM,87,415,357-2735,no,no,0,168.2,92,28.59,58.8,224.7,100,19.1,169.5,99,7.63,12.9,3,3.48,1,False.,2020-05-31
WI,41,408,409-4791,no,no,0,202.9,97,34.49,55.1,153.8,104,13.07,113.5,92,5.11,9,3,2.43,3,False.,2020-10-24
WV,112,415,380-5286,no,no,0,261.4,108,44.44,66.59,154.5,102,13.13,130.9,90,5.89,11.6,2,3.13,1,False.,2019-06-25
SC,88,510,394-8402,no,no,0,73.3,86,12.46,39.17,161.4,82,13.72,239.6,76,10.78,8.2,3,2.21,4,True.,2020-03-15
KY,122,408,392-1616,no,yes,27,253.7,84,43.13,73.66,229.2,109,19.48,190.5,123,8.57,9.2,5,2.48,7,False.,2019-08-18
MO,61,408,364-1969,no,no,0,45,108,7.65,30.04,151.3,74,12.86,152.9,94,6.88,9.8,6,2.65,2,False.,2020-05-13
IL,87,510,390-4152,no,no,0,231.3,105,39.32,60.47,171.7,108,14.59,67.7,136,3.05,13,6,3.51,1,False.,2019-06-06
OK,176,408,367-7039,no,no,0,47.4,125,8.06,32.5,167.8,90,14.26,163.1,107,7.34,10.5,8,2.84,2,False.,2020-04-01
MI,30,510,391-6607,no,no,0,227.4,88,38.66,66.18,182.5,100,15.51,191.7,134,8.63,12.5,3,3.38,0,False.,2020-01-24
NJ,95,415,379-6652,no,yes,22,40.9,126,6.95,33.39,133.4,90,11.34,264.2,91,11.89,11.9,7,3.21,0,False.,2020-09-24
ID,46,415,384-1833,no,no,0,124.8,133,21.22,45.88,157.3,143,13.37,199.3,72,8.97,8.6,4,2.32,2,False.,2020-04-28
DC,100,510,403-2455,yes,no,0,68.5,110,11.65,52.8,337.1,115,28.65,205.2,99,9.23,12.1,9,3.27,0,False.,2020-09-09
NY,47,415,391-1348,no,yes,37,163.5,77,27.8,57.61,203.1,102,17.26,232,87,10.44,7.8,4,2.11,2,False.,2020-06-05
AL,77,415,408-4174,no,no,0,163,112,27.71,58.64,219.1,89,18.62,233.4,66,10.5,6.7,3,1.81,2,False.,2020-07-18
OR,98,415,366-4334,no,yes,38,213.7,61,36.33,70.08,253,104,21.51,207.7,73,9.35,10.7,5,2.89,2,False.,2020-01-17
OK,125,415,406-5059,no,yes,36,201.3,117,34.22,44.93,42.2,78,3.59,125.7,104,5.66,5.4,3,1.46,1,False.,2019-10-17
LA,67,510,373-6784,no,no,0,310.4,97,52.77,71.99,66.5,123,5.65,246.5,99,11.09,9.2,10,2.48,4,False.,2020-01-20
NE,194,408,408-3532,no,no,0,48.4,101,8.23,46.86,281.1,138,23.89,218.5,87,9.83,18.2,1,4.91,1,False.,2019-12-27
TX,128,415,350-8680,no,yes,40,171.2,88,29.1,54.12,145.7,109,12.38,196.8,93,8.86,14,6,3.78,1,False.,2019-11-21
UT,190,415,398-9870,no,yes,22,166.5,93,28.31,51.61,183,92,15.56,121,102,5.44,8.5,3,2.3,0,False.,2020-06-25
OR,165,415,343-3356,no,no,0,216.6,126,36.82,66.5,190.8,104,16.22,224.7,123,10.11,12.4,8,3.35,0,False.,2020-11-01
NY,59,408,415-4609,no,no,0,107.8,113,18.33,49.2,216.6,125,18.41,217.5,92,9.79,9.9,3,2.67,2,False.,2020-01-26
AL,47,408,404-5387,no,yes,28,141.3,94,24.02,45.52,168,108,14.28,113.5,84,5.11,7.8,2,2.11,1,False.,2020-06-24
RI,150,415,415-8151,no,yes,29,209.9,77,35.68,57.28,158,52,13.43,141.9,113,6.39,6.6,1,1.78,0,False.,2019-10-03
MN,152,415,416-2778,yes,yes,20,237.5,120,40.38,77.68,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9,True.,2020-05-04
NC,26,415,393-3300,no,no,0,234.5,109,39.87,67.84,216.5,129,18.4,191.6,94,8.62,3.5,6,0.95,3,False.,2019-07-25
MD,79,510,391-7661,no,yes,31,103.1,90,17.53,44.92,243,135,20.66,76.4,92,3.44,12.2,8,3.29,3,False.,2020-09-07
RI,95,510,339-4317,no,yes,27,129.5,106,22.02,58.45,248.9,90,21.16,268,115,12.06,11.9,3,3.21,1,False.,2020-09-17
WI,69,510,418-6455,yes,no,0,279.8,90,47.57,78.67,248.7,91,21.14,171,118,7.69,8.4,10,2.27,2,True.,2019-09-08
VT,95,510,378-3508,yes,yes,41,136.8,91,23.26,49.13,200.8,61,17.07,133.7,67,6.02,10.3,9,2.78,5,True.,2019-07-07
CT,31,415,390-9359,no,yes,31,100.1,54,17.02,51.03,246.3,97,20.94,255,131,11.48,5.9,3,1.59,0,False.,2020-02-28
OK,121,408,364-2495,no,yes,31,237.1,63,40.31,69.37,205.6,117,17.48,196.7,85,8.85,10.1,5,2.73,4,False.,2020-04-02
AK,111,415,364-7719,no,no,0,172.8,58,29.38,54.22,183.1,108,15.56,158.8,104,7.15,7.9,3,2.13,4,True.,2019-10-09
NY,157,415,421-1189,no,no,0,224.5,111,38.17,63.59,200.7,99,17.06,116.6,118,5.25,11.5,2,3.11,2,False.,2019-11-27
GA,44,510,419-8987,no,no,0,288.1,112,48.98,82.32,258,92,21.93,192.4,90,8.66,10.2,4,2.75,3,True.,2020-03-24
UT,61,510,402-9980,yes,no,0,78.2,103,13.29,37.53,195.9,149,16.65,108,100,4.86,10.1,6,2.73,2,False.,2020-02-12
NM,65,415,376-5908,no,no,0,148.7,80,25.28,57.46,259,94,22.02,149.5,107,6.73,12.7,6,3.43,2,False.,2019-11-30
NE,74,415,400-3150,no,yes,25,194.6,84,33.08,54.71,119.9,103,10.19,175.5,75,7.9,13.1,2,3.54,2,False.,2020-06-06
NJ,123,408,336-1749,no,no,0,159.5,77,27.12,66.39,303.8,92,25.82,226.9,120,10.21,12,4,3.24,0,False.,2019-11-08
TX,58,408,420-1259,no,yes,20,194.5,110,33.07,64.45,213.7,89,18.16,236.6,92,10.65,9.5,2,2.57,1,False.,2020-05-25
MT,74,408,339-7541,no,no,0,174.1,96,29.6,64.77,251.1,94,21.34,257.6,123,11.59,8.3,5,2.24,2,True.,2020-02-19
CO,125,415,378-9029,no,no,0,131.8,97,22.41,49.98,136.7,100,11.62,308.2,119,13.87,7.7,6,2.08,2,False.,2020-04-04
VT,80,415,342-7514,no,no,0,160.6,103,27.3,61.37,237,109,20.15,245.1,88,11.03,10.7,1,2.89,1,False.,2019-09-07
RI,53,408,422-4956,no,yes,18,146.8,107,24.96,61.29,310,84,26.35,178.7,130,8.04,7.2,7,1.94,0,False.,2019-07-05
WY,99,408,389-8606,no,yes,28,200.7,88,34.12,66.81,264.2,116,22.46,172.7,102,7.77,9.1,5,2.46,1,False.,2020-10-10
ID,99,415,406-7261,no,no,0,145.6,106,24.75,46.44,98.3,106,8.36,230.8,83,10.39,10.9,5,2.94,1,False.,2020-06-03
CT,66,415,417-7973,no,yes,29,229.4,104,39,73.46,257.4,84,21.88,231.5,119,10.42,8,1,2.16,2,False.,2020-09-16
ME,97,510,390-2891,no,no,0,211,76,35.87,58.75,189,100,16.07,123,102,5.54,4.7,4,1.27,3,False.,2019-09-06
AZ,75,510,385-7387,no,yes,37,121.5,97,20.66,57.97,271.4,110,23.07,248.7,97,11.19,11.3,5,3.05,2,False.,2019-08-31
MD,85,510,362-2776,yes,no,0,216,73,36.72,60.31,188.2,117,16,147.1,98,6.62,3.6,7,0.97,2,False.,2019-10-27
IN,108,510,329-1955,no,no,0,293,88,49.81,72.64,160.6,101,13.65,143.9,87,6.48,10,6,2.7,2,False.,2019-08-26
NC,133,408,344-3160,yes,yes,32,221.1,137,37.59,71.87,264.9,99,22.52,168.9,108,7.6,15.4,4,4.16,2,True.,2019-09-14
DE,51,510,406-2454,no,no,0,181.5,108,30.86,58.8,196.9,87,16.74,187.2,119,8.42,10.3,2,2.78,1,False.,2020-08-31
MN,186,415,335-3913,no,yes,26,74.3,107,12.63,44.95,177.3,116,15.07,296.3,90,13.33,14.5,3,3.92,2,False.,2019-07-13
WI,44,415,355-7705,yes,no,0,62.3,92,10.59,43.13,275,82,23.38,138.7,108,6.24,10.8,3,2.92,1,False.,2020-01-14
FL,64,408,410-7108,no,yes,31,228.6,88,38.86,69.93,248.5,109,21.12,167.1,124,7.52,9,1,2.43,3,False.,2019-10-15
WV,44,510,419-1674,no,no,0,228.1,121,38.78,77.54,276.5,79,23.5,279.8,77,12.59,9.9,5,2.67,2,True.,2020-01-21
SD,114,415,351-7369,no,yes,36,309.9,90,52.68,81.8,200.3,89,17.03,183.5,105,8.26,14.2,2,3.83,1,False.,2020-08-31
FL,92,415,349-9566,no,no,0,201.9,74,34.32,67.09,226.8,119,19.28,217.5,80,9.79,13.7,6,3.7,3,False.,2019-08-17
OR,110,408,333-3421,no,no,0,149.8,112,25.47,50.23,180,93,15.3,140,119,6.3,11.7,4,3.16,2,False.,2020-10-10
CO,90,408,393-8199,no,yes,30,183.8,76,31.25,59.33,229.7,95,19.52,144.1,124,6.48,7.7,3,2.08,1,False.,2020-08-25
CT,72,408,388-4879,no,yes,21,186.7,108,31.74,73.1,335,86,28.48,187.2,119,8.42,16.5,4,4.46,1,False.,2020-06-18
IN,113,415,353-6007,no,no,0,209.4,151,35.6,78.19,347.3,113,29.52,246,116,11.07,7.4,2,2,1,True.,2020-07-26
PA,171,415,416-1557,no,yes,25,223.2,77,37.94,63.05,183.2,118,15.57,150.8,90,6.79,10.2,3,2.75,3,False.,2020-11-04
NM,104,415,356-7217,no,no,0,164.2,109,27.91,51.61,155.4,90,13.21,168.9,117,7.6,10.7,8,2.89,1,False.,2020-07-14
ME,165,408,350-2012,no,no,0,150.5,75,25.59,58.8,193.1,93,16.41,311.6,93,14.02,10.3,2,2.78,1,False.,2019-11-06
SD,104,510,420-9838,no,no,0,234.2,128,39.81,75.65,293.1,92,24.91,183.9,79,8.28,9.8,6,2.65,0,True.,2020-07-05
AR,110,408,373-6379,no,no,0,55.3,102,9.4,35.18,164.7,124,14,200.7,108,9.03,10.2,5,2.75,1,False.,2019-11-27
TX,90,408,355-7293,yes,no,0,221.8,97,37.71,67.01,203.8,134,17.32,215.8,154,9.71,8.4,4,2.27,1,False.,2020-08-22
NH,114,415,406-4588,no,no,0,169.6,85,28.83,43.91,58.9,86,5.01,179.3,124,8.07,7.4,8,2,1,False.,2019-08-15
OK,101,408,345-1524,no,no,0,89.7,118,15.25,48.66,260.1,79,22.11,170.1,93,7.65,13.5,11,3.65,5,True.,2020-07-25
WI,117,408,375-8493,no,yes,14,80.2,81,13.63,40.09,219,103,18.62,122.6,102,5.52,8.6,2,2.32,1,False.,2020-08-30
AL,109,408,361-2924,no,no,0,218.9,105,37.21,72.89,299.9,87,25.49,158.6,110,7.14,11.3,4,3.05,2,False.,2019-07-27
PA,82,408,359-6163,no,no,0,125.7,96,21.37,50.74,207.6,137,17.65,183.1,103,8.24,12.9,2,3.48,1,False.,2020-03-21
OK,92,510,411-8140,no,no,0,176.3,85,29.97,49.82,93.4,125,7.94,207.2,107,9.32,9.6,1,2.59,2,False.,2019-11-07
ME,82,510,381-9049,no,yes,29,207.2,111,35.22,67.01,254.1,137,21.6,169.3,92,7.62,9.5,5,2.57,2,False.,2019-08-19
WV,90,415,344-4478,no,no,0,205.7,138,34.97,64.25,161.9,83,13.76,269.7,104,12.14,12.5,6,3.38,2,False.,2019-12-08
HI,87,408,360-2690,no,yes,28,151.4,95,25.74,49.94,152.4,97,12.95,250.1,109,11.25,0,0,0,1,False.,2019-10-30
MN,124,510,410-7383,no,no,0,157.5,70,26.78,49.18,130.7,79,11.11,193.4,98,8.7,9.6,4,2.59,3,False.,2020-08-07
NY,39,408,356-1889,no,no,0,160.4,68,27.27,49.04,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2,False.,2020-05-06
AZ,84,415,341-2360,no,no,0,159,80,27.03,52.16,167.9,128,14.27,167.6,101,7.54,12.3,5,3.32,1,False.,2020-06-13
OH,75,510,370-3021,no,yes,46,214.1,62,36.4,67.07,200.9,111,17.08,246.8,126,11.11,9.2,6,2.48,0,False.,2020-04-17
MI,102,510,336-4656,no,no,0,102.6,89,17.44,48.48,246,77,20.91,170.5,140,7.67,9.1,4,2.46,2,False.,2020-03-24
MA,62,415,386-2810,yes,no,0,159.7,86,27.15,53.16,197.5,76,16.79,121.6,105,5.47,13.9,6,3.75,0,True.,2020-07-16
WV,143,510,350-1354,no,no,0,202.8,109,34.48,56.29,165.8,104,14.09,143.9,71,6.48,4.6,4,1.24,1,False.,2020-05-19
MI,53,415,346-5707,no,no,0,57.5,95,9.78,46.47,265.5,131,22.57,244.3,128,10.99,11.6,6,3.13,3,False.,2019-08-12
NM,30,415,405-8370,no,no,0,169.9,144,28.88,58.74,225.2,118,19.14,169.7,93,7.64,11.4,7,3.08,1,False.,2020-03-31
MO,112,415,373-2053,no,no,0,335.5,77,57.04,90.46,212.5,109,18.06,265,132,11.93,12.7,8,3.43,2,True.,2020-08-27
RI,129,415,369-5222,no,no,0,139.5,119,23.72,57.67,289.3,105,24.59,129.4,97,5.82,13.1,8,3.54,0,False.,2020-03-05
NC,63,415,347-7420,no,yes,29,142.3,107,24.19,46.86,118.7,56,10.09,240.1,91,10.8,6.6,8,1.78,1,False.,2019-10-11
WY,28,415,392-6856,no,no,0,187.8,94,31.93,65.32,248.6,86,21.13,208.8,124,9.4,10.6,5,2.86,0,False.,2020-05-11
WY,111,415,371-5556,no,no,0,146.2,55,24.85,56.77,261.5,83,22.23,163.2,116,7.34,8.7,3,2.35,3,False.,2019-10-31
PA,91,510,334-5337,no,no,0,231.8,120,39.41,67.45,150.6,106,12.8,269.2,129,12.11,11.6,7,3.13,3,False.,2020-07-28
KY,90,415,334-8817,no,no,0,193.7,83,32.93,62.93,154.2,79,13.11,299,60,13.46,12.7,3,3.43,1,False.,2020-02-12
OR,151,510,339-1405,no,no,0,156.4,108,26.59,57.32,233.4,118,19.84,195.7,141,8.81,7.7,6,2.08,4,False.,2020-04-17
NV,105,415,380-7742,yes,yes,29,220.7,82,37.52,68.15,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1,True.,2020-03-23
DC,41,408,329-6191,no,yes,37,239.8,110,40.77,70.11,221.9,115,18.86,189.1,100,8.51,7.3,1,1.97,2,False.,2020-06-20
UT,48,510,340-3075,no,yes,43,172,111,29.24,58.91,200.2,64,17.02,233.1,96,10.49,8,5,2.16,1,False.,2020-04-09
WA,166,408,416-5849,yes,yes,35,128.2,138,21.79,60.95,274.5,113,23.33,298.9,130,13.45,8.8,7,2.38,2,False.,2020-04-22
FL,79,510,334-7443,no,no,0,130.2,119,22.13,59.41,290.9,121,24.73,194.8,140,8.77,14,6,3.78,3,False.,2020-06-15
VA,153,510,394-9121,no,no,0,195.4,107,33.22,55.92,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1,False.,2019-08-23
KS,110,415,383-1657,yes,no,0,293.3,79,49.86,81.81,188.5,90,16.02,266.9,91,12.01,14.5,4,3.92,0,True.,2020-10-17
KS,163,415,347-4112,no,no,0,191.3,89,32.52,64.54,193.9,87,16.48,268.4,121,12.08,12.8,4,3.46,1,False.,2020-08-27
DC,126,510,362-8280,no,no,0,122.4,88,20.81,43.21,143.8,111,12.22,157,106,7.07,11.5,3,3.11,1,False.,2020-02-15
ME,105,408,402-9982,no,yes,33,209.6,68,35.63,56.42,146.9,140,12.49,121,131,5.44,10.6,3,2.86,2,False.,2019-11-01
LA,172,415,392-8905,no,no,0,215.7,140,36.67,62.94,146.3,84,12.44,264.6,83,11.91,7.1,1,1.92,3,False.,2020-05-28
